person_id,primary_name,birth_year,death_year,primary_profession
18963,Abdollah Alimorad,,,"cinematographer,writer,director"
262680,Abdou Filali,,,actor
676892,Abdul Rehman,,,"make_up_department,miscellaneous,art_department"
1001345,Abdulaye Niang,,,
15221,Abdulaziz Khalil,,,actor
38611,Abdullah Ataç,1918,1987,"actor,producer,assistant_director"
938852,Abdullah Çaliskanoglu,,,actor
742926,Abdullah Shadan,,,"director,actor"
667423,Abdurrahman Shala,1922,1994,"actor,producer,writer"
233172,Abe Dyer,,,actor
903494,Abe Zwick,,,actor
1205,Abel Ferrara,1951,,"director,writer,soundtrack"
288494,Abel Gance,1889,1981,"writer,director,editor"
635415,Abel Pera,1891,1975,actor
657033,Abel Prazer,,,actor
715221,Abel Salazar,1917,1995,"actor,producer,director"
8350,Abel Salcedo,,,actor
173048,Abel Teixeira Costa,,,production_manager
887015,Abel Woolrich,,2006,"actor,producer"
76718,Abhi Bhattacharya,1921,1993,actor
1041609,Abhishek,,,
43445,Abhishek Bachchan,1976,,"actor,music_department,soundtrack"
146692,Abhishek Chatterjee,,,actor
1006276,Abi Rein,,,"actor,producer"
730331,Abi Schneider,,,sound_department
434729,Abigail Klem,,,miscellaneous
571304,Abigail Morgan,,,actress
624789,Abigail Paresi,,,actress
680599,Abigail Revasch,,,actress
747422,Abigail Sheraton,,,actress
771632,Abigail Spencer,1981,,"actress,writer,producer"
887690,Abigail Wrapson,,,actress
921298,Abolfazl Poorarab,,,actor
124936,Abou Camara,,,actor
862532,Abou Watte,,,actor
790916,Aboubacar Sidiki Sumah,1983,,actor
69122,Abraham Benrubi,1969,,"actor,soundtrack"
308526,Abraham Goldblat,,,"production_manager,miscellaneous,editorial_department"
190808,Abraham J. Danzinger,,,writer
549658,Abraham Merritt,1884,1943,writer
842905,Abraham Verghese,,,writer
777129,Abram Stasevich,1906,1971,music_department
250846,Abu Bakr Ezzat,1933,2006,actor
9414,Acajou,,,actor
604688,Ace O'Connell,,,actor
167202,Achille Consalvi,,,"director,actor,writer"
898603,Achille Zavatta,1915,1993,"actor,composer"
68940,Achim Benning,1935,,"actor,director"
934070,Achim Göres,,,actress
438630,Achim Kohlhase,,,actor
947304,Achim Schultz,,,camera_department
10320,Acram Adam,,,actor
423539,Ad van Kempen,1944,,"actor,writer"
917971,Ada Frontini,,,"editorial_department,cinematographer,camera_department"
531335,Ada May,1896,1978,actress
676199,Ada Reeve,1874,1966,actress
837116,Ada Van Roon,1882,,"writer,actress"
649181,Adalbert Plica,1937,,"director,cinematographer,camera_department"
164531,Adalgisa Colombo,1940,2013,actress
1913,Adam Ant,1954,,"soundtrack,actor,composer"
33600,Adam Arkin,1956,,"actor,director,producer"
54879,Adam Badrawy,1977,,"assistant_director,production_manager,miscellaneous"
47049,Ádám Bakonyi,,,sound_department
284,Adam Baldwin,1962,,"actor,soundtrack"
50731,Adam Baratta,,,"actor,writer,producer"
60593,Adam Beach,1972,,"actor,producer,miscellaneous"
63978,Adam Behr,,,"special_effects,actor,make_up_department"
84204,Adam Bleibtreu,,,"producer,miscellaneous,production_manager"
86936,Ádám Bodor,1936,,writer
91117,Adam Boome,,,"editor,director,producer"
95629,Adam Bousdoukos,1974,,"actor,soundtrack,writer"
105871,Adam Brody,1979,,"actor,producer,soundtrack"
106563,Adam Brooker,,,actor
106646,Adam Brooks,1956,,"writer,producer,director"
118767,Adam Butcher,1988,,"actor,stunts"
128700,Adam Caperton,,,art_department
130754,Adam Carl,1971,,"actor,producer,director"
4783,Adam Carolla,1964,,"writer,producer,actor"
148019,Adam Cheng,1947,,"actor,music_department"
151949,Adam Christensen,,,actor
143552,Adam Chung-Tai Chan,,,"stunts,actor,miscellaneous"
974966,Adam Clark,,,production_designer
157363,Adam Clay,,,director
160858,Adam Cohen,,,"producer,director,production_manager"
988970,Adam Collins,,,
169759,Adam Copeland,1973,,actor
201903,Adam Deacon,1983,,"actor,writer,soundtrack"
4495,Adam Doench,,,"assistant_director,miscellaneous,producer"
998575,Adam Dylan Taylor Powell,,,"sound_department,camera_department,actor"
252098,Adam Faith,1940,2003,"actor,soundtrack"
254402,Adam Farrar,1971,,"actor,miscellaneous"
261714,Adam Fidusiewicz,1985,,actor
265094,Adam Fisher,,,actor
289427,Adam Garcia,1973,,"actor,director,writer"
294694,Adam Gavzer,,,actor
4943,Adam Goldberg,1970,,"actor,producer,writer"
480842,Adolfo León,,,miscellaneous
907003,Adam Goodwin,,,"animation_department,art_department,camera_department"
320001,Adam Green,,,writer
338714,Adam Hamburger,,,"producer,writer"
2122,Adam Hann-Byrd,1982,,"writer,miscellaneous,actor"
349549,Adam Hatley,1974,,"actor,miscellaneous,producer"
356539,Adam Hendershott,1983,,"actor,camera_department,miscellaneous"
365480,Adam Hinkle,,,
382641,Adam Huss,1977,,"actor,producer,writer"
383359,Adam Hutyra,1967,,actor
943202,Adam Hyndman,,,actor
750817,Adam J. Shully,,,"producer,production_manager,location_management"
398825,Adam Jennette,,,actor
951056,Adam Johnson,,,actor
407647,Adam Joseph,,,"sound_department,actor,camera_department"
413415,Adam Kamien,1965,,actor
418534,Adam Kaufman,,,editorial_department
925028,Adam Kone,,,
457249,Adam Lamberg,1984,,actor
463315,Adam Laschinger,,,"sound_department,soundtrack"
465875,Adam LaVorgna,1981,,"actor,soundtrack"
468383,Adam Leadbeater,,,actor
923065,Adam Lubanski,,,"miscellaneous,art_department,visual_effects"
500261,Adam Lynton,,,director
527350,Adam Masters,1960,,"editor,editorial_department"
407648,Adam N. Joseph,,,"cinematographer,producer,production_manager"
1017494,Adam Norén,,,"art_department,set_decorator,assistant_director"
627483,Adam Pascal,1970,,"actor,soundtrack,composer"
668077,Ádám Rajhona,1943,2016,actor
672769,Adam Ravetch,1961,,"cinematographer,camera_department,director"
673051,Adam Ray,,2014,actor
918396,Adam Reed,,,"producer,writer,actor"
684757,Adam Richner,,,miscellaneous
685978,Adam Rifkin,1966,,"writer,director,producer"
689418,Adam Roarke,1937,1996,"actor,director"
690877,Adam Robertson,,,"actor,producer,miscellaneous"
693798,Adam Rodin,1976,,"producer,manager,writer"
700393,Adam Rosen,,,"assistant_director,writer,miscellaneous"
701592,Adam Ross,,,"editor,editorial_department,sound_department"
719170,Adam Sandford,,,actor
1190,Adam Sandler,1966,,"actor,producer,writer"
4377,Adam Scott,1973,,"actor,producer,director"
742194,Adam Severs,,,"sound_department,miscellaneous"
744102,Adam Shapiro,,,"producer,assistant_director"
756293,Adam Sinclair,,,"actor,assistant_director,producer"
780785,Adam Stern,,,"visual_effects,producer,director"
785345,Adam Storke,1962,,"actor,soundtrack"
793193,Adam Svatek,,,"editor,art_department,visual_effects"
829380,Adam Tønsberg,1967,,actor
822518,Adam Trese,1969,,actor
